Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,Class,CoinName
Scrypt,PoW/PoS,41.99995383,42.0,-0.3362036957398844,1.0185767686794842,-0.5922231003301475,0,42 Coin
Scrypt,PoW/PoS,1055184902.0,532000000.0,-0.3195324334094734,1.0186111349864975,-0.5926900949790939,0,404Coin
X13,PoW/PoS,29279424623.0,314159000000.0,2.3143132548257017,1.6998639700391633,-0.5775276969462089,0,EliteCoin
SHA-256,PoW,17927175.0,21000000.0,-0.14300162969375935,-1.2671905016033849,0.20348412066199423,1,Bitcoin
Ethash,PoW,107684222.7,0.0,-0.13503890400158422,-1.974773880409658,0.4268955556910289,1,Ethereum
Scrypt,PoW,63039243.3,84000000.0,-0.1665449979373367,-1.1517568991870824,-0.06818275643222417,1,Litecoin
X11,PoW/PoS,9031294.376,22000000.0,-0.39894894546877796,1.2394709346856712,-0.47796942374029827,0,Dash
CryptoNight-V7,PoW,17201143.14,0.0,-0.15201187002493133,-2.2281072899409753,0.3630000670949817,1,Monero
Ethash,PoW,113359703.0,210000000.0,-0.133480221400199,-1.974886498840664,0.4268758813099132,1,Ethereum Classic
Equihash,PoW,7383056.25,21000000.0,-0.14114617084542205,-2.0490433687572938,0.3654065795471819,1,ZCash
SHA-512,PoS,2741570000.0,3600570502.0,-0.29436207408701565,1.2775687434676037,-0.2740846672563199,0,Bitshares
Multiple,PoW,11406219141.0,21000000000.0,0.1638204845745856,-1.8114639507714414,0.33473067501391934,1,DigiByte
SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3114903187030997,0.9031111283338572,-0.3205818633153688,0,BitcoinDark
SHA-256,PoS,11995334.88,12500000.0,-0.26204134268755913,0.6792457191081336,0.03354145725510464,0,PayCoin
Scrypt,PoW,5768310.0,21000000.0,-0.16769185750210044,-1.1517401805206429,-0.06815458248368145,1,ProsperCoin
X15,PoW/PoS,25542535.59,350000000.0,-0.2396478295737989,1.8399446670717716,-0.6318414076868951,0,KoboCoin
X11,PoW,11149734.0,20000000.0,-0.23064483619739043,-0.9308346102069461,0.046102462622282465,1,Spreadcoin
Scrypt,PoW,12205795.44,64000000.0,-0.16730821378054522,-1.1517616202462249,-0.06816072540011883,1,Argentum
Scrypt,PoW/PoS,18135099.99,16768584.0,-0.33586309525955627,1.0185732067633264,-0.5922317581835035,0,Aurora Coin
Scrypt,PoW/PoS,635423900.0,0.0,-0.3284364118227474,1.01877192842374,-0.592477776652566,0,BlueCoin
Multiple,PoW,1688254250.0,2000000000.0,-0.08971662419413329,-1.8041016615908732,0.3401998667201794,1,MyriadCoin
Scrypt,PoW,88.0,384000000000.0,2.5553924812097395,-1.3608487954014301,-0.09996705638844837,1,MoonCoin
SHA-256,PoW,170204389.8,169795588.0,-0.14008497693298133,-1.2672247631556495,0.20341075978911421,1,ZetaCoin
Scrypt,PoW,128940951.2,250000000.0,-0.16456216814184355,-1.1518270586785,-0.06822292369428497,1,SexCoin
Scrypt,PoW,7357794.793,100000000.0,-0.16711216496574227,-1.1517827140665566,-0.06816176513262437,1,Quatloo
Scrypt,PoW/PoS,123062801.1,0.0,-0.33469940340822757,1.018614565353323,-0.5922724235790894,0,EnergyCoin
Quark,PoW,259557164.9,247000000.0,-0.2129191667254227,-0.43857422683181896,0.11432008045286196,1,QuarkCoin
Groestl,PoW,49548585.14,84000000.0,-0.20121347461237307,-1.2672123849474832,0.09792952202244024,1,Riecoin
Scrypt,PoW,33442988.34,48166000.0,-0.1671609086434615,-1.1517464747390433,-0.06816792528046095,1,Digitalcoin 
Scrypt,PoW/PoS,42579.4769,500000.0,-0.3361996301003429,1.0185765094775951,-0.5922231588033527,0,BitBar
Scrypt,PoW,7219956.646,21000000.0,-0.16767411288653825,-1.1517397346718579,-0.06815516430010153,1,Catcoin
Scrypt,PoW/PoS,1039116.651,1000000.0,-0.33618390267636183,1.0185765432577547,-0.5922235996407789,0,CryptoBullion
Scrypt,PoW,4703879.518,13140000.0,-0.16776061149499874,-1.1517362270527314,-0.06815350461803965,1,CannaCoin
X11,PoW,4996986.206,18000000.0,-0.2307342299334711,-0.9308354107619583,0.04610509433959935,1,CryptCoin
Scrypt,PoC,39999997300.0,40000000000.0,0.6604265133530807,0.21475557551594754,-0.31475990281801647,0,CasinoCoin
Groestl,PoW/PoS,3304487.747,4380000.0,-0.3706358103006586,0.9031240560194944,-0.42611791621575595,0,Diamond
Multiple,PoW,15929530669.0,16555000000.0,0.18758880964092886,-1.8076540389223985,0.33328603568954457,1,Verge
SHA-256,PoW,18773857500.0,21000000000.0,0.23504856273230487,-1.2728546536780985,0.1942285634416995,1,DevCoin
Scrypt,PoW,12539015187.0,13500000000.0,0.08110406740703606,-1.1552311834741356,-0.0742946869009227,1,EarthCoin
Scrypt,PoW,20910478.81,21000000.0,-0.1675067628958812,-1.1517355298588698,-0.06816065142785166,1,E-Gulden
Scrypt,PoW,218871896.5,299792458.0,-0.16310974668810696,-1.15182655382501,-0.0682630933776751,1,Einsteinium
Scrypt,PoW,19496786.31,32000000.0,-0.1674460322619813,-1.1517419544180585,-0.06816099623425459,1,Emerald
PoS,PoS,5679705.0,0.0,-0.365866256858574,1.5064937911637555,-0.03396698881922472,0,Exclusive Coin
Scrypt,PoS/PoW/PoT,461829905.3,0.0,-0.25752508049449907,0.34577735991469677,-0.27776453278093216,0,FlutterCoin
